aro,name,definition,is_a
"ARO:3000800","MexC","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3002523","AAC(2')-Ia","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3005157","PDC-41","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3003937","Neisseria meningititis PBP2 conferring resistance to beta-lactam","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3001802","OXA-141","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3002937","vanSG","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3000205","tetX","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3001109","SHV-52","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3004179","Mycoplasma pneumoniae 23S rRNA mutation conferring resistance to erythromycin","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3000024","patA","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3002735","QnrB20","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3004441","tet(59)","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3002615","aadA15","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3003884","ADC-78","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3002348","GES-19","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3003924","Haemophilus parainfluenzae gyrA conferring resistance to fluoroquinolones","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3001053","TEM-193","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3005162","FosA7.5","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3005378","KPC-49","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3002554","AAC(6')-Ig","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3004335","Escherichia coli gyrA with mutation conferring resistance to triclosan","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3005024","FosL1","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3005373","KPC-41","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3000595","ErmT","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3003198","rmtH","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3002599","AAC(6')-30/AAC(6')-Ib' fusion protein","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3000254","emrY","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3001952","CTX-M-92","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3002201","IMP-10","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3002130","CMY-119","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3001924","CTX-M-63","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3003156","SHV-189","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3001495","OXA-233","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3000391","norA","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3004165","Mycobacteroides chelonae 23S rRNA with mutation conferring resistance to clarithromycin","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3001378","TEM-201","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3003730","Bifidobacterium bifidum ileS conferring resistance to mupirocin","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3004665","cmlA8","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3002081","CMY-68","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3002372","VEB-3","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3004185","mecD","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3005089","mef(D)","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3001452","OXA-140","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3003608","OXA-452","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3001383","TEM-206","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3002364","PER-2","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3004150","Escherichia coli 23S rRNA with mutation conferring resistance to chloramphenicol","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3002932","vanSB","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3001527","OXA-339","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3000935","TEM-68","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3002919","vanRA","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3003115","OXA-427","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3002531","AAC(3)-Ic","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
"ARO:3001874","CTX-M-11","Penems are a class of unsaturated beta-lactam antibiotics with a broad spectrum of antibacterial activity and have a structure which renders them highly resistant to beta-lactamases. All penems are all synthetically made and act by inhibiting the synthesis of the peptidoglycan layer of bacterial cell walls. They are structurally similar to carbapenems, however, where carbapenems have a carbon, penems have a sulfur. [PMID:14620395, PMID:3043117]","['ARO:3000007 ! beta-lactam antibiotic']"
